month,year,AirPort,PercentageOnTime
1,2011,ATL,0.74
1,2012,ATL,0.74
1,2013,ATL,0.74
2,2011,ATL,0.68
2,2012,ATL,0.68
2,2013,ATL,0.68
3,2011,ATL,0.76
3,2012,ATL,0.76
3,2013,ATL,0.76
4,2011,ATL,0.77
4,2012,ATL,0.77
4,2013,ATL,0.77
5,2011,ATL,0.76
5,2012,ATL,0.76
5,2013,ATL,0.76
6,2011,ATL,0.8
6,2012,ATL,0.8
6,2013,ATL,0.8
7,2011,ATL,0.84
7,2012,ATL,0.84
7,2013,ATL,0.84
8,2011,ATL,0.76
8,2012,ATL,0.76
8,2013,ATL,0.76
9,2011,ATL,0.68
9,2012,ATL,0.68
9,2013,ATL,0.68
10,2011,ATL,0.71
10,2012,ATL,0.71
10,2013,ATL,0.71
11,2011,ATL,0.87
11,2012,ATL,0.87
11,2013,ATL,0.87
12,2011,ATL,0.79
12,2012,ATL,0.79
12,2013,ATL,0.79
1,2011,BOS,0.81
1,2012,BOS,0.81
1,2013,BOS,0.81
2,2011,BOS,0.71
2,2012,BOS,0.71
2,2013,BOS,0.71
3,2011,BOS,0.81
3,2012,BOS,0.81
3,2013,BOS,0.81
4,2011,BOS,0.79
4,2012,BOS,0.79
4,2013,BOS,0.79
5,2011,BOS,0.69
5,2012,BOS,0.69
5,2013,BOS,0.69
6,2011,BOS,0.76
6,2012,BOS,0.76
6,2013,BOS,0.76
7,2011,BOS,0.76
7,2012,BOS,0.76
7,2013,BOS,0.76
8,2011,BOS,0.76
8,2012,BOS,0.76
8,2013,BOS,0.76
9,2011,BOS,0.71
9,2012,BOS,0.71
9,2013,BOS,0.71
10,2011,BOS,0.74
10,2012,BOS,0.74
10,2013,BOS,0.74
11,2011,BOS,0.77
11,2012,BOS,0.77
11,2013,BOS,0.77
12,2011,BOS,0.71
12,2012,BOS,0.71
12,2013,BOS,0.71
1,2011,BWI,0.83
1,2012,BWI,0.83
1,2013,BWI,0.83
2,2011,BWI,0.79
2,2012,BWI,0.79
2,2013,BWI,0.79
3,2011,BWI,0.77
3,2012,BWI,0.77
3,2013,BWI,0.77
4,2011,BWI,0.72
4,2012,BWI,0.72
4,2013,BWI,0.72
5,2011,BWI,0.79
5,2012,BWI,0.79
5,2013,BWI,0.79
6,2011,BWI,0.76
6,2012,BWI,0.76
6,2013,BWI,0.76
7,2011,BWI,0.8
7,2012,BWI,0.8
7,2013,BWI,0.8
8,2011,BWI,0.74
8,2012,BWI,0.74
8,2013,BWI,0.74
9,2011,BWI,0.81
9,2012,BWI,0.81
9,2013,BWI,0.81
10,2011,BWI,0.81
10,2012,BWI,0.81
10,2013,BWI,0.81
11,2011,BWI,0.79
11,2012,BWI,0.79
11,2013,BWI,0.79
12,2011,BWI,0.76
12,2012,BWI,0.76
