State,transportation_energy_consumedBtU
Alabama,469.5
Alaska,172.8
Arizona,459.8
Arkansas,276.3
California,"2,907.8"
Colorado,402.2
Connecticut,228.0
Delaware,62.0
District of Columbia,19.8
Florida,"1,466.0"
Georgia,823.2
Hawaii,141.2
Idaho,134.6
Illinois,950.4
Indiana,620.0
Iowa,299.7
Kansas,287.3
Kentucky,440.2
Louisiana,660.2
Maine,128.0
Maryland,430.9
Massachusetts,456.2
Michigan,733.1
Minnesota,448.2
Mississippi,368.1
Missouri,542.3
Montana,118.1
Nebraska,195.1
Nevada,207.6
New Hampshire,99.4
New Jersey,847.1
New Mexico,201.5
New York,"1,042.8"
North Carolina,720.5
North Dakota,139.6
Ohio,920.3
Oklahoma,453.9
Oregon,301.3
Pennsylvania,916.0
Rhode Island,58.3
South Carolina,452.9
South Dakota,95.4
Tennessee,596.2
Texas,"3,073.5"
Utah,250.0
Vermont,49.2
Virginia,733.4
Washington,593.0
West Virginia,170.2
Wisconsin,412.2
Wyoming,114.0
,
,
,
,
,
,
,
,
