Week,interestFlightPrices
09/01/2011,80
16/01/2011,75
23/01/2011,68
30/01/2011,52
06/02/2011,69
13/02/2011,67
20/02/2011,95
27/02/2011,76
06/03/2011,75
13/03/2011,76
20/03/2011,76
27/03/2011,72
03/04/2011,63
10/04/2011,68
17/04/2011,46
24/04/2011,60
01/05/2011,55
08/05/2011,76
15/05/2011,62
22/05/2011,66
29/05/2011,79
05/06/2011,69
12/06/2011,78
19/06/2011,90
26/06/2011,63
03/07/2011,41
10/07/2011,52
17/07/2011,64
24/07/2011,56
31/07/2011,51
07/08/2011,70
14/08/2011,57
21/08/2011,46
28/08/2011,65
04/09/2011,56
11/09/2011,79
18/09/2011,49
25/09/2011,70
02/10/2011,47
09/10/2011,51
16/10/2011,64
23/10/2011,53
30/10/2011,57
06/11/2011,48
13/11/2011,51
20/11/2011,56
27/11/2011,62
04/12/2011,67
11/12/2011,57
18/12/2011,58
25/12/2011,72
01/01/2012,68
08/01/2012,50
15/01/2012,73
22/01/2012,69
29/01/2012,84
05/02/2012,74
12/02/2012,77
19/02/2012,68
26/02/2012,84
04/03/2012,100
11/03/2012,68
18/03/2012,69
25/03/2012,59
01/04/2012,63
08/04/2012,58
15/04/2012,67
22/04/2012,81
29/04/2012,63
06/05/2012,62
13/05/2012,66
20/05/2012,73
27/05/2012,71
03/06/2012,64
10/06/2012,66
17/06/2012,64
24/06/2012,63
01/07/2012,66
08/07/2012,63
15/07/2012,77
22/07/2012,59
29/07/2012,70
05/08/2012,62
12/08/2012,79
19/08/2012,63
26/08/2012,60
02/09/2012,60
09/09/2012,66
16/09/2012,44
23/09/2012,68
30/09/2012,69
07/10/2012,66
14/10/2012,68
21/10/2012,45
28/10/2012,47
04/11/2012,57
11/11/2012,46
18/11/2012,51
25/11/2012,61
02/12/2012,58
09/12/2012,56
16/12/2012,49
23/12/2012,67
30/12/2012,54
06/01/2013,81
13/01/2013,72
20/01/2013,79
27/01/2013,63
03/02/2013,60
10/02/2013,69
17/02/2013,73
24/02/2013,83
03/03/2013,83
10/03/2013,60
17/03/2013,65
24/03/2013,67
31/03/2013,80
07/04/2013,63
14/04/2013,43
21/04/2013,79
28/04/2013,63
