,ATL,BOS,BWI,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MIA,MSP,ORD,PDX,PHL,PHX,SAN,SEA,SFO,SLC,TPA
2011,0.80,0.74,0.82,0.79,0.78,0.82,0.83,0.81,0.67,0.79,0.88,0.79,0.81,0.75,0.83,0.80,0.72,0.81,0.83,0.80,0.83,0.75,0.83,0.76,0.85,0.81,0.84,0.71,0.86,0.82
1,0.74,0.68,0.76,0.77,0.76,0.80,0.84,0.76,0.68,0.71,0.87,0.79,0.81,0.71,0.81,0.79,0.69,0.76,0.76,0.76,0.71,0.74,0.77,0.71,0.83,0.79,0.77,0.72,0.79,0.76
2,0.80,0.74,0.81,0.81,0.79,0.76,0.72,0.75,0.69,0.78,0.84,0.78,0.76,0.74,0.76,0.74,0.69,0.78,0.75,0.79,0.73,0.63,0.78,0.77,0.78,0.74,0.77,0.71,0.81,0.79
3,0.76,0.76,0.84,0.82,0.80,0.83,0.87,0.81,0.72,0.78,0.80,0.83,0.83,0.79,0.80,0.76,0.76,0.80,0.84,0.76,0.78,0.80,0.79,0.82,0.83,0.76,0.79,0.63,0.83,0.80
4,0.77,0.70,0.78,0.77,0.74,0.81,0.76,0.78,0.56,0.76,0.86,0.77,0.78,0.70,0.77,0.76,0.63,0.78,0.77,0.79,0.78,0.67,0.78,0.73,0.81,0.75,0.80,0.73,0.82,0.80
5,0.82,0.62,0.79,0.74,0.73,0.80,0.72,0.79,0.62,0.78,0.90,0.74,0.80,0.73,0.80,0.79,0.67,0.82,0.78,0.83,0.81,0.69,0.84,0.72,0.84,0.79,0.85,0.73,0.87,0.82
6,0.73,0.70,0.81,0.72,0.74,0.81,0.85,0.78,0.64,0.78,0.88,0.74,0.78,0.72,0.81,0.77,0.71,0.79,0.80,0.77,0.81,0.72,0.81,0.75,0.84,0.78,0.84,0.67,0.87,0.79
7,0.75,0.74,0.79,0.74,0.72,0.77,0.85,0.78,0.66,0.79,0.92,0.74,0.76,0.75,0.84,0.81,0.73,0.78,0.85,0.77,0.80,0.72,0.85,0.76,0.85,0.83,0.87,0.66,0.87,0.79
8,0.81,0.66,0.76,0.74,0.69,0.84,0.84,0.81,0.60,0.74,0.89,0.75,0.85,0.63,0.85,0.81,0.66,0.77,0.83,0.72,0.85,0.78,0.87,0.70,0.87,0.83,0.88,0.68,0.89,0.78
9,0.86,0.75,0.81,0.79,0.80,0.88,0.88,0.84,0.66,0.81,0.91,0.76,0.85,0.77,0.87,0.85,0.75,0.83,0.84,0.82,0.91,0.82,0.89,0.73,0.90,0.86,0.91,0.79,0.92,0.84
10,0.87,0.79,0.86,0.86,0.85,0.88,0.88,0.89,0.71,0.79,0.91,0.83,0.87,0.82,0.87,0.83,0.80,0.82,0.89,0.83,0.92,0.86,0.87,0.80,0.89,0.84,0.87,0.74,0.92,0.84
11,0.87,0.85,0.90,0.88,0.86,0.88,0.87,0.88,0.76,0.88,0.88,0.86,0.86,0.86,0.86,0.80,0.78,0.89,0.91,0.88,0.90,0.79,0.85,0.82,0.88,0.84,0.85,0.71,0.89,0.90
12,0.86,0.88,0.91,0.89,0.86,0.80,0.82,0.88,0.72,0.86,0.89,0.86,0.78,0.85,0.88,0.83,0.80,0.87,0.90,0.85,0.89,0.84,0.84,0.83,0.86,0.85,0.86,0.81,0.89,0.88
2012,0.85,0.76,0.81,0.91,0.78,0.81,0.86,0.87,0.75,0.84,0.93,0.78,0.81,0.83,0.82,0.86,0.78,0.80,0.84,0.81,0.92,0.79,0.85,0.74,0.84,0.83,0.85,0.82,0.82,0.81
1,0.82,0.76,0.85,0.88,0.70,0.84,0.83,0.83,0.78,0.84,0.89,0.77,0.78,0.84,0.83,0.93,0.75,0.84,0.87,0.90,0.90,0.84,0.78,0.78,0.75,0.82,0.78,0.85,0.79,0.86
2,0.90,0.85,0.95,0.96,0.77,0.84,0.91,0.88,0.86,0.90,0.93,0.81,0.77,0.93,0.86,0.97,0.86,0.89,0.94,0.94,0.95,0.85,0.89,0.84,0.92,0.89,0.90,0.97,0.82,0.91
